fund_code,fund_name
000001,华夏成长证券投资基金
000003,中海可转换债券债券型证券投资基金
000004,中海可转换债券债券型证券投资基金
000005,嘉实增强信用定期开放债券型证券投资基金
000006,西部利得量化成长混合型发起式证券投资基金
000007,鹏华国有企业债债券型证券投资基金
000008,嘉实中证500交易型开放式指数证券投资基金联接基金
000009,易方达天天理财货币市场基金
000010,易方达天天理财货币市场基金
000011,华夏大盘精选证券投资基金
000013,易方达天天理财货币市场基金
000014,华夏聚利债券型证券投资基金
000015,华夏纯债债券型证券投资基金
000016,华夏纯债债券型证券投资基金
000017,财通可持续发展主题混合型证券投资基金
000020,景顺长城品质投资混合型证券投资基金
000021,华夏优势增长混合型证券投资基金
000022,南方中债中期票据指数债券型发起式证券投资基金
000023,南方中债中期票据指数债券型发起式证券投资基金
000024,摩根士丹利华鑫双利增强债券型证券投资基金
000025,摩根士丹利华鑫双利增强债券型证券投资基金
000026,泰达宏利信用合利定期开放债券型证券投资基金
000027,泰达宏利信用合利定期开放债券型证券投资基金
000028,华富保本混合型证券投资基金
000029,富国宏观策略灵活配置混合型证券投资基金
000030,长城久利保本混合型证券投资基金
000031,华夏复兴混合型证券投资基金
000032,易方达信用债债券型证券投资基金
000033,易方达信用债债券型证券投资基金
000037,广发理财7天债券型证券投资基金
000038,广发理财7天债券型证券投资基金
000039,农银汇理低估值高增长混合型证券投资基金
000041,华夏全球精选股票型证券投资基金
000042,中证财通中国可持续发展100(ECPI ESG)指数增强型证券投资基金
000043,嘉实美国成长股票型证券投资基金
000044,嘉实美国成长股票型证券投资基金
000045,工银瑞信产业债债券型证券投资基金
000046,工银瑞信产业债债券型证券投资基金
000047,华夏双债增强债券型证券投资基金
000048,华夏双债增强债券型证券投资基金
000049,中银标普全球精选自然资源等权重指数证券投资基金
000050,长盛纯债债券型证券投资基金
000051,华夏沪深300交易型开放式指数证券投资基金联接基金
000052,长盛纯债债券型证券投资基金
000053,鹏华永诚一年定期开放债券型证券投资基金
000054,鹏华双债增利债券型证券投资基金
000055,广发纳斯达克100指数证券投资基金
000056,建信消费升级混合型证券投资基金
000057,中银消费主题混合型证券投资基金
000058,国联安保本混合型证券投资基金
000059,国联安中证医药100指数证券投资基金
000060,国联安中证股债动态策略指数证券投资基金
000061,华夏盛世精选混合型证券投资基金
000062,银华量化智慧动力灵活配置混合型证券投资基金
000063,长盛电子信息主题灵活配置混合型证券投资基金
000064,摩根士丹利华鑫纯债稳定增利18个月定期开放债券型证券投资基金
000065,富兰克林国海焦点驱动灵活配置混合型证券投资基金
000066,诺安鸿鑫保本混合型证券投资基金
000067,民生加银转债优选债券型证券投资基金
000068,民生加银转债优选债券型证券投资基金
000069,国投瑞银中高等级债券型证券投资基金
000070,国投瑞银中高等级债券型证券投资基金
000071,恒生交易型开放式指数证券投资基金联接基金
000072,华安保本混合型证券投资基金
000073,上投摩根成长动力混合型证券投资基金
000074,工银瑞信信用纯债一年定期开放债券型证券投资基金
000075,恒生交易型开放式指数证券投资基金联接基金
000077,工银瑞信信用纯债一年定期开放债券型证券投资基金
000078,工银瑞信信用纯债两年定期开放债券型证券投资基金
000079,工银瑞信信用纯债两年定期开放债券型证券投资基金
000080,天治可转债增强债券型证券投资基金
000081,天治可转债增强债券型证券投资基金
000082,嘉实研究阿尔法股票型证券投资基金
000083,汇添富消费行业混合型证券投资基金
000084,博时安盈债券型证券投资基金
000085,博时安盈债券型证券投资基金
000086,南方稳利1年定期开放债券型证券投资基金
000087,嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金
000088,嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金
